S1,"S1 - other","S1 - time",S2,"S2 - other","S2 - time",E1_1,"E1_1 - other","E1_1 - time",E2,"E2 - other","E2 - time",E3,"E3 - other","E3 - time",E4,"E4 - other","E4 - time",E5,"E5 - other","E5 - time",A1,"A1 - other","A1 - time",A2,"A2 - other","A2 - time",A4,"A4 - other","A4 - time",A5,"A5 - other","A5 - time",A6,"A6 - other","A6 - time",A6_1,"A6_1 - other","A6_1 - time",A7,"A7 - other","A7 - time",A8,"A8 - other","A8 - time",A9,"A9 - other","A9 - time",A10,"A10 - other","A10 - time",A10_1,"A10_1 - other","A10_1 - time",S5,"S5 - other","S5 - time",S6,"S6 - other","S6 - time",S7,"S7 - other","S7 - time",S3,"S3 - other","S3 - time",S3_1,"S3_1 - other","S3_1 - time",C1,"C1 - other","C1 - time",C2,"C2 - other","C2 - time",C3,"C3 - other","C3 - time",C4,"C4 - other","C4 - time",C5,"C5 - other","C5 - time",C6,"C6 - other","C6 - time"
"""2""",,26,"""5""",,6,"[""1"",""3"",""7""]",,45,"{""1"":""4"",""3"":""6"",""7"":""1""}",,91,,,,,,,,,,"{""49"":""1""}",,42,,,,"[""41"",""43"",""48""]",,40,"{""41"":[""7""],""48"":[""7""],""43"":[""7""]}",,24,"[""1"",""8""]",,23,"{""1"":[""7""],""8"":[""1"",""4"",""7""]}",,20,,,,"[""2"",""8"",""11"",""4"",""9""]",,18,"[""8"",""9""]",,13,"{""4"":[""89""],""3"":[""84""],""2"":[""85""],""7"":[""90""],""5"":[""85""],""8"":[""89""],""1"":[""84""],""9"":[""85""],""6"":[""85""]}",,100,"{""12"":[""85""],""17"":[""90""],""16"":[""89""],""14"":[""89""],""15"":[""85""],""13"":[""85""],""18"":[""89""],""11"":[""84""],""10"":[""90""]}",,75,"""2""",,15,"""5""",,7,"""3""",,10,,,,"""8""",,12,"""1983""",,7,"""1""",,3,"""19""",,9,"""3""",,7,"""5""",,27,"[""7"",""14"",""21""]",,77
"""2""",,18,"""5""",,7,"[""99""]",,29,,,,,,,,,,,,,"{""40"":""1""}",,37,"{""40"":{""LastNameEmpty"":""1"",""Company"":""Mail""}}",,15,"[""99""]",,28,,,,"[""7"",""8"",""1"",""6"",""12""]",,23,"{""7"":[""6""],""6"":[""6""],""8"":[""6""],""1"":[""6""],""12"":[""7""]}",,33,,,,"[""99""]",,14,"[""11""]",,11,"{""5"":[""85""],""3"":[""90""],""2"":[""84"",""85""],""7"":[""84"",""85""],""8"":[""84""],""9"":[""84"",""85""],""6"":[""85""],""1"":[""84"",""85""],""4"":[""84"",""85""]}",,84,"{""18"":[""84"",""85""],""13"":[""84"",""85""],""12"":[""84"",""85""],""17"":[""84"",""85""],""11"":[""84"",""83"",""85""],""15"":[""84"",""85""],""10"":[""90""],""16"":[""84"",""85""],""14"":[""84"",""85""]}",,67,"""2""",,8,"""6""",,7,"""2""",,5,,,,"""6""",,5,"""1983""",,6,"""2""",,3,"""1""",,3,"""5""",,6,"""2""",,14,"[""18"",""19"",""21""]",,30
"""3""",,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""1""",,12,"""10""",,6,"[""4"",""6"",""7""]",,30,"{""4"":""5"",""6"":""1"",""7"":""1""}",,17,,,,,,,,,,"{""46"":""1"",""44"":""1"",""41"":""1""}",,42,"{""46"":{""LastName"":""Касперский"",""Company"":""Касперский""},""44"":{""LastName"":""Цукерберг"",""Company"":""Фейсбук""},""41"":{""LastName"":""Дуров"",""Company"":""Вконтакте""}}",,81,"[""99""]",,12,,,,"[""99""]",,15,,,,,,,"[""99""]",,12,"[""99""]",,7,"{""9"":[""90""],""7"":[""90""],""2"":[""90""],""8"":[""90""],""3"":[""90""],""1"":[""90""],""6"":[""90""],""5"":[""90""],""4"":[""90""]}",,29,"{""10"":[""90""],""17"":[""90""],""12"":[""90""],""14"":[""90""],""16"":[""90""],""11"":[""90""],""13"":[""90""],""15"":[""90""],""18"":[""90""]}",,14,"""98""",Владелец,32,"""1""",,8,,,,"""99""",,8,,,,"""1983""",,6,"""1""",,5,"""1""",,4,"""9""",,4,"""9""",,6,"[""26""]",,13
"""3""",,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""3""",,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""2""",,16,"""6""",,18,"[""4"",""7"",""11""]",,31,"{""4"":""3"",""7"":""1"",""11"":""3""}",,30,,,,,,,,,,"{""41"":""1"",""44"":""1""}",,35,"{""41"":{""LastName"":""Дуров"",""Company"":""ВКонтакте""},""44"":{""LastName"":""Цукерберг"",""Company"":""Facebook""}}",,47,"[""401"",""40""]",,36,"{""401"":[""4""],""40"":[""4""]}",,23,"[""4"",""2"",""1"",""8""]",,23,"{""1"":[""4"",""7""],""4"":[""7""],""2"":[""4"",""7"",""8""],""8"":[""4"",""7"",""8""]}",,27,,,,"[""4""]",,12,"[""2"",""9""]",,22,"{""5"":[""83"",""84"",""89""],""2"":[""84""],""6"":[""83"",""84"",""89""],""8"":[""83"",""84"",""85"",""89""],""7"":[""83"",""84"",""85"",""89""],""4"":[""83"",""84"",""89""],""3"":[""83"",""84"",""89""],""1"":[""83"",""84"",""89""],""9"":[""83"",""84"",""89""]}",,88,"{""10"":[""84"",""89""],""13"":[""83"",""84"",""89""],""17"":[""84"",""89""],""14"":[""83"",""84"",""89""],""16"":[""89""],""18"":[""84"",""89""],""15"":[""83"",""84"",""89""],""12"":[""83"",""84"",""88"",""85"",""89""],""11"":[""83"",""84"",""85"",""89""]}",,75,"""5""",,9,"""1""",,5,,,,,,,"""5""",,8,"""1989""",,5,"""1""",,4,"""12""",,5,"""9""",,21,"""2""",,27,"[""6"",""24"",""25""]",,52
"""3""",,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""1""",,10,"""10""",,11,"[""7"",""8"",""9"",""10"",""11""]",,21,"{""7"":""2"",""8"":""6"",""9"":""3"",""10"":""2"",""11"":""2""}",,23,,,,,,,,,,"{""44"":""1"",""45"":""1"",""42"":""1"",""46"":""1"",""48"":""1"",""401"":""1"",""40"":""1"",""39"":""1""}",,39,"{""44"":{""LastName"":""Цукерберг"",""Company"":""Марк""},""45"":{""LastName"":""Балмер"",""Company"":""Стив""},""42"":{""LastNameEmpty"":""1"",""CompanyEmpty"":""1""},""46"":{""LastName"":""Касперский"",""Company"":""Евений""},""48"":{""LastName"":""Долгов"",""Company"":""Владими""},""401"":{""LastName"":""Артамонова"",""Company"":""Анна""},""40"":{""LastName"":""Гришин"",""Company"":""Дмитрий""},""39"":{""LastName"":""Волож"",""Company"":""Аркадий""}}",,128,"[""45"",""41"",""39"",""44"",""40""]",,30,"{""45"":[""1"",""4"",""7"",""8""],""41"":[""4"",""8""],""39"":[""4"",""8""],""44"":[""4"",""6"",""7"",""8""],""40"":[""4"",""8""]}",,35,"[""8"",""6"",""2"",""1"",""3"",""4"",""7""]",,12,"{""8"":[""1"",""4"",""7"",""8""],""2"":[""4"",""8""],""6"":[""1"",""4"",""7"",""8""],""1"":[""1"",""4"",""6"",""7"",""8""],""3"":[""4"",""7"",""8""],""4"":[""4"",""8""],""7"":[""4"",""7"",""8""]}",,29,,,,"[""8"",""6"",""1"",""3"",""7""]",,16,"[""2"",""1""]",,19,"{""6"":[""84"",""85"",""86""],""9"":[""84"",""85""],""3"":[""84"",""85"",""86""],""2"":[""84"",""85"",""86""],""4"":[""84"",""85"",""86""],""7"":[""89"",""84"",""85"",""86""],""8"":[""84"",""85"",""86""],""1"":[""84"",""85"",""86""],""5"":[""84"",""85"",""86""]}",,59,"{""13"":[""84"",""85"",""86""],""17"":[""84"",""85"",""86""],""10"":[""85""],""16"":[""84"",""85""],""12"":[""84"",""85"",""86""],""18"":[""89"",""84"",""85"",""86""],""15"":[""84"",""85""],""14"":[""89"",""84"",""85"",""86""],""11"":[""84"",""85""]}",,53,"""2""",,7,"""2""",,5,"""3""",,6,"""6""",,12,,,,"""1977""",,7,"""1""",,3,"""1""",,4,"""4""",,4,"""5""",,19,"[""11"",""13"",""18""]",,35
"""1""",,10,"""5""",,4,"[""4"",""7"",""8""]",,26,"{""4"":""6"",""7"":""2"",""8"":""5""}",,48,,,,,,,,,,"{""44"":""1"",""41"":""1""}",,46,"{""44"":{""LastName"":""Цукерберг"",""Company"":""Facebook""},""41"":{""LastName"":""Дуров"",""Company"":""Вконтакте""}}",,31,"[""99""]",,19,,,,"[""99""]",,17,,,,,,,"[""6"",""4"",""7"",""3"",""1""]",,21,"[""6"",""1""]",,10,"{""4"":[""85"",""84""],""2"":[""85""],""3"":[""90""],""9"":[""89""],""1"":[""85"",""84"",""86""],""6"":[""85"",""84""],""5"":[""85"",""84""],""7"":[""89"",""85"",""86""],""8"":[""85"",""86""]}",,93,"{""10"":[""90""],""13"":[""89"",""85"",""86""],""12"":[""89"",""85"",""84"",""86""],""14"":[""85"",""84"",""86""],""18"":[""90""],""15"":[""85"",""84"",""86""],""17"":[""89"",""85"",""84"",""86""],""16"":[""89"",""85"",""84""],""11"":[""89"",""85"",""84"",""86""]}",,68,"""4""",,11,"""1""",,5,,,,"""2""",,9,,,,"""1986""",,6,"""1""",,3,"""2""",,5,"""4""",,6,"""3""",,14,"[""3""]",,14
